Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Boston Bruins,20222023,62,49,8,--,5,103,0.831,42,47,2,235,129,3.79,2.08,23.2,86.6,21.3,90.4,32.9,29.7,54.6
Carolina Hurricanes,20222023,60,40,12,--,8,88,0.733,30,37,3,203,153,3.38,2.55,20.5,83.1,18,88.6,35.1,26.2,53
New Jersey Devils,20222023,61,40,15,--,6,86,0.705,30,39,1,217,163,3.56,2.67,21.1,81.7,18.3,85,34.4,28.3,51.7
Toronto Maple Leafs,20222023,62,38,16,--,8,84,0.677,32,38,0,211,163,3.4,2.63,25.1,81.5,22.5,84.8,32.2,28.9,53.3
Dallas Stars,20222023,63,34,16,--,13,81,0.643,29,31,3,208,163,3.3,2.59,22.9,82.9,21.4,86.9,32.5,30.9,54.9
Vegas Golden Knights,20222023,62,37,19,--,6,80,0.645,27,33,4,195,171,3.15,2.76,20.7,79.2,19.4,83.9,32.5,30.6,52.6
Tampa Bay Lightning,20222023,62,37,20,--,5,79,0.637,30,35,2,218,188,3.52,3.03,25.8,81.3,21.2,82.8,32.2,31.6,52.2
New York Rangers,20222023,63,35,19,--,9,79,0.627,27,32,3,206,177,3.27,2.81,22.8,79.3,20.7,83.8,31.9,29.1,48.9
Los Angeles Kings,20222023,63,35,20,--,8,78,0.619,25,29,6,208,212,3.3,3.37,25.1,75.6,21.8,77.9,32.2,28.3,52.7
Minnesota Wild,20222023,62,35,21,--,6,76,0.613,24,28,7,172,165,2.77,2.66,22.9,82.1,21.9,86.2,31.3,30,47.3
Seattle Kraken,20222023,62,35,21,--,6,76,0.613,29,35,0,217,195,3.5,3.15,20.4,73.9,16,75.6,30,27.8,45.5
Edmonton Oilers,20222023,63,34,21,--,8,76,0.603,32,34,0,243,205,3.86,3.25,31.4,75.3,29.2,80.3,33.5,31.5,50.3
Colorado Avalanche,20222023,60,34,21,--,5,73,0.608,24,30,4,189,168,3.15,2.8,23.2,77.8,22.1,80.5,33.3,32.1,46.3
Winnipeg Jets,20222023,62,35,25,--,2,72,0.581,27,34,1,189,170,3.05,2.74,21.4,84.2,19.4,86.9,30,31.1,48.4
New York Islanders,20222023,65,32,25,--,8,72,0.554,28,32,0,188,172,2.89,2.65,17.2,82.3,14.4,84.4,30.6,31.6,50.6
Pittsburgh Penguins,20222023,61,31,21,--,9,71,0.582,24,30,1,199,194,3.26,3.18,20.9,79.6,18.5,82.1,33.7,33.8,52.1
Buffalo Sabres,20222023,61,32,25,--,4,68,0.557,24,31,1,228,217,3.74,3.56,25.1,72.5,21.7,77,32.4,33.1,45.9
Calgary Flames,20222023,62,27,22,--,13,67,0.54,22,26,1,193,190,3.11,3.06,19.7,80.8,18.2,84.1,35.6,27,50.7
Ottawa Senators,20222023,61,31,26,--,4,66,0.541,24,29,2,192,191,3.15,3.13,25.1,83,22.1,85.7,33.2,31.9,51.3
Florida Panthers,20222023,63,30,27,--,6,66,0.524,26,28,2,213,215,3.38,3.41,21.4,74,18.1,76.2,36.6,32.2,48.4
Washington Capitals,20222023,63,30,27,--,6,66,0.524,23,29,1,190,187,3.02,2.97,20.9,82.4,18.3,84.7,31.6,30,49.6
Nashville Predators,20222023,59,30,23,--,6,66,0.559,23,27,3,169,174,2.86,2.95,18.9,81,15.7,82.5,30.5,33.6,51.7
Detroit Red Wings,20222023,62,28,25,--,9,65,0.524,22,26,2,185,202,2.98,3.26,20.2,77.3,15.6,78.9,28.6,31,48.8
St. Louis Blues,20222023,61,27,29,--,5,59,0.484,19,24,3,186,222,3.05,3.64,20.7,76.7,15.6,80.7,28.7,32.3,50.3
Philadelphia Flyers,20222023,62,23,28,--,11,57,0.46,21,22,1,162,204,2.61,3.29,15.9,75.6,11.4,81.4,29.3,31.2,45.6
Montréal Canadiens,20222023,62,26,32,--,4,56,0.452,17,22,4,166,221,2.68,3.56,16.5,73.9,14.9,75.4,27.8,33.7,49.4
Vancouver Canucks,20222023,61,24,32,--,5,53,0.434,15,21,3,202,240,3.31,3.93,22.9,67.6,17.6,71.4,30.5,31.3,49.3
Arizona Coyotes,20222023,62,21,32,--,9,51,0.411,16,18,3,164,219,2.65,3.53,18.7,74.1,17.1,75.9,25.6,35.5,45.3
Anaheim Ducks,20222023,63,21,34,--,8,50,0.397,11,18,3,158,254,2.51,4.03,16.5,73.6,13.7,74.1,29.2,39.4,46.3
San Jose Sharks,20222023,62,18,32,--,12,48,0.387,14,17,1,182,226,2.94,3.65,18.3,83.1,12.8,84.7,29.9,31.1,50.3
Chicago Blackhawks,20222023,61,21,35,--,5,47,0.385,13,19,2,150,220,2.46,3.61,17.6,75.8,13.1,79.2,26.9,33.9,54.4
Columbus Blue Jackets,20222023,62,20,36,--,6,46,0.371,15,19,1,160,228,2.58,3.68,17,76.3,12.7,79,29.2,35,48.5
